Rank,Rank Δ,Player,Cons. Rating,Cons. Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Ws,Ls,Ds,W%,Opps Δ,Ws Δ,Ls Δ,Ds Δ,W% Δ,Timeouts,Timeouts Δ,Last Played,Active
472,-15,eldiabloazul,1470.61,-2.38,1548.13,-2.47,25.84,-0.03,501,226,209,6,51.25,3.0,1.0,2.0,0.0,-0.12,0,0.0,2024-12-08,True
473,34,mul,1469.43,18.52,1548.9,18.85,26.49,0.11,403,225,176,2,55.83,18.0,18.0,0.0,0.0,2.06,0,0.0,2024-12-20,True
-,-,josqvin,1469.22,-0.04,1627.38,-0.01,52.72,0.01,74,27,19,3,55.1,0.0,0.0,0.0,0.0,0.0,0,0.0,2022-03-01,False
474,-36,rolls.royal,1469.2,-11.39,1593.01,-18.56,41.27,-2.39,103,69,34,0,66.99,18.0,12.0,6.0,0.0,-0.07,0,0.0,2024-12-12,True
475,15,burerf,1469.03,12.04,1555.1,11.02,28.69,-0.34,236,124,111,1,52.54,17.0,13.0,4.0,0.0,1.86,0,0.0,2025-01-19,True
476,-16,durloc,1469.03,-1.97,1550.06,-2.36,27.01,-0.13,342,187,153,2,54.68,15.0,5.0,10.0,0.0,-0.98,0,0.0,2024-12-08,True
477,-15,ysun,1468.99,0.01,1549.63,0.01,26.88,0.0,328,192,134,2,58.54,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-04-04,True
478,-122,goblinmatron,1468.87,-50.02,1624.15,-83.11,51.76,-11.03,71,52,19,0,73.24,22.0,11.0,11.0,0.0,-10.43,0,0.0,2025-01-08,True
-,-,luckcats,1468.82,-0.18,1592.27,-0.27,41.15,-0.03,108,73,34,1,67.59,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-09-03,False
479,-13,dragonheard4,1468.77,1.04,1600.59,1.37,43.94,0.11,86,54,31,1,62.79,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-13,True
480,-15,jelen117,1468.68,0.14,1618.77,0.14,50.03,0.0,72,50,20,2,69.44,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-29,True
481,-8,tribunx,1468.34,4.76,1545.44,5.54,25.7,0.26,725,398,319,8,54.9,22.0,14.0,8.0,0.0,0.28,0,0.0,2025-01-09,True
-,-,corrsarz,1468.07,0.0,1809.53,0.0,113.82,0.0,18,15,3,0,83.33,0.0,0.0,0.0,0.0,0.0,0,0.0,2020-06-28,False
-,-,ttaf,1468.06,0.13,1741.36,-0.08,91.1,-0.07,42,36,6,0,85.71,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-01-29,False
482,85,believedream,1468.06,45.95,1812.13,29.15,114.69,-5.6,14,13,1,0,92.86,1.0,1.0,0.0,0.0,0.55,0,0.0,2024-12-13,True
483,-20,dukeatreides,1467.87,-0.94,1549.44,-1.06,27.19,-0.04,305,156,144,5,51.15,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-07-15,True
484,7,archer1629,1467.39,10.45,1654.65,1.87,62.42,-2.86,42,31,10,1,73.81,3.0,2.0,1.0,0.0,-0.55,0,0.0,2024-12-12,True
-,-,thebiggere,1467.35,0.0,1559.0,0.0,30.55,0.0,188,104,79,5,55.32,0.0,0.0,0.0,0.0,0.0,0,0.0,2022-01-30,False
485,-41,ddafaith,1467.35,-10.93,1543.61,-10.9,25.42,0.01,930,461,461,8,49.57,22.0,11.0,11.0,0.0,0.01,0,0.0,2025-01-07,True
-,-,dxp199062,1467.22,4.17,1665.58,1.2,66.12,-0.99,36,27,9,0,75.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2022-07-29,False
-,-,djesushchrist,1467.19,0.0,1764.97,0.0,99.26,0.0,18,15,3,0,83.33,0.0,0.0,0.0,0.0,0.0,0,0.0,2020-12-06,False
486,-17,tyristan,1466.82,0.42,1598.55,0.33,43.91,-0.03,91,56,34,1,61.54,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-08-11,True
-,-,ladywhale,1466.7,0.1,1574.34,0.07,35.88,-0.01,132,70,60,2,53.03,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-03-05,False
487,-7,teraspena,1465.15,6.12,1541.68,6.66,25.51,0.18,577,306,267,4,53.03,15.0,13.0,2.0,0.0,0.89,0,0.0,2024-12-13,True
-,-,cal21,1464.94,-0.19,1549.81,-0.16,28.29,0.01,282,163,117,2,57.8,0.0,0.0,0.0,0.0,0.0,0,0.0,2022-10-30,False
-,-,andregby,1464.92,0.0,1737.05,0.0,90.71,0.0,30,25,4,1,83.33,0.0,0.0,0.0,0.0,0.0,0,0.0,2021-06-02,False
-,-,hinghenry,1463.65,0.0,1666.84,0.0,67.73,0.0,36,25,11,0,69.44,0.0,0.0,0.0,0.0,0.0,0,0.0,2020-09-27,False
-,-,henader,1463.5,0.24,1550.68,0.24,29.06,0.0,242,140,102,0,57.85,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-03-01,False
488,-34,tony117,1463.23,-11.01,1540.63,-10.71,25.8,0.1,467,250,212,5,53.53,21.0,9.0,12.0,0.0,-0.51,0,0.0,2025-01-07,True
489,52,sunian,1462.99,31.34,1817.83,17.0,118.28,-4.78,17,16,1,0,94.12,1.0,1.0,0.0,0.0,0.37,0,0.0,2024-12-10,True
-,-,samtheman,1462.96,0.0,1567.36,0.0,34.8,0.0,130,64,65,1,49.23,0.0,0.0,0.0,0.0,0.0,0,0.0,2021-12-05,False
490,-14,raze27,1462.65,0.5,1551.36,0.47,29.57,-0.01,225,126,97,2,56.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-02-23,True
-,-,enthusio,1462.2,0.0,1574.01,0.0,37.27,0.0,120,70,48,2,58.33,0.0,0.0,0.0,0.0,0.0,0,0.0,2021-08-08,False
491,+491,z-man,1462.0,,1785.67,,107.89,,15,13,2,0,86.67,,,,,,0,,2024-12-10,True
