Rank,Rank Δ,Player,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played
1,2,Wawrzyniec,1911.61,3.41,2006.39,7.34,31.59,1.31,460,6.0,322,6.0,134,0.0,4,0.0,70.0,0.4,2025-06-29
2,0,Airren,1909.64,-4.06,2033.53,0.0,41.3,1.35,262,0.0,209,0.0,52,0.0,1,0.0,79.77,0.0,2025-02-17
3,-2,whsvin,1908.84,-6.22,1997.64,0.0,29.6,2.07,524,0.0,399,0.0,124,0.0,1,0.0,76.15,0.0,2025-02-20
4,10,Plunderteig,1887.75,34.55,2022.24,20.62,44.83,-4.64,121,15.0,98,12.0,23,3.0,0,0.0,80.99,-0.14,2025-06-29
5,1,Genghisip,1882.33,-5.37,1975.63,0.0,31.1,1.79,473,0.0,318,0.0,151,0.0,4,0.0,67.23,0.0,2025-04-29
6,-2,DireNTropy,1881.71,-14.46,1999.84,-11.58,39.38,0.96,288,2.0,223,0.0,65,2.0,0,0.0,77.43,-0.54,2025-07-07
7,4,St4nkk,1880.57,7.74,1978.64,7.58,32.69,-0.05,333,15.0,264,12.0,69,3.0,0,0.0,79.28,0.03,2025-06-27
8,-1,Pascalotopia,1880.06,-4.98,1979.96,0.0,33.3,1.66,322,0.0,222,0.0,99,0.0,1,0.0,68.94,0.0,2024-09-10
9,-4,Martin_Pecheur,1878.42,-13.8,1945.18,-8.67,22.25,1.71,1140,22.0,745,12.0,383,9.0,12,1.0,65.35,-0.21,2025-07-07
10,-2,pv4,1873.14,-5.31,1943.63,-0.97,23.5,1.45,814,18.0,498,11.0,307,7.0,9,0.0,61.18,0.0,2025-07-04
11,7,Palino,1861.7,12.13,1943.57,13.61,27.29,0.49,726,17.0,480,13.0,246,4.0,0,0.0,66.12,0.25,2025-07-08
12,-2,Grozz,1857.91,-15.17,1929.38,-9.95,23.82,1.74,437,22.0,321,12.0,112,10.0,4,0.0,73.46,-1.0,2025-06-30
13,3,pajada,1852.81,2.58,1920.5,7.87,22.56,1.76,1235,22.0,740,18.0,483,4.0,12,0.0,59.92,0.4,2025-07-05
14,7,a440,1852.6,19.81,1949.33,18.29,32.24,-0.51,372,15.0,268,12.0,102,3.0,2,0.0,72.04,0.33,2025-07-03
