Rank,Rank Δ,Player,Code,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played,Title,Leaderboard Rank
1048,-183,TheYoungDutch,US,1044.15,29.75,1245.91,-6.26,67.25,-12.0,53,13.0,15,4.0,37,9.0,1,0.0,28.3,0.8,2025-02-19,-,1184.0
1049,-207,Loscy,-,1044.15,-1.06,1504.81,0.0,153.56,0.35,6,0.0,3,0.0,3,0.0,0,0.0,50.0,0.0,2024-04-04,-,885.0
1050,-175,uday,PL,1044.12,43.39,1295.73,9.87,83.87,-11.17,30,6.0,11,3.0,19,3.0,0,0.0,36.67,3.34,2025-02-06,-,950.0
1051,-188,Kruch,DE,1043.94,27.38,1174.59,22.83,43.55,-1.52,108,12.0,38,5.0,68,7.0,2,0.0,35.19,0.81,2025-02-16,-,658.0
-,-,StefanGreatFirst,PL,1043.55,-1.1,1491.0,0.0,149.15,0.37,10,0.0,5,0.0,4,0.0,1,0.0,50.0,0.0,2023-03-01,-,1362.0
1052,new,matinghiasi,-,1043.43,593.43,1490.11,-9.89,148.89,148.89,6,6.0,3,3.0,3,3.0,0,0.0,50.0,50.0,2025-02-03,-,-
-,-,Thantalus,-,1042.89,-1.04,1511.68,0.0,156.26,0.35,9,0.0,4,0.0,5,0.0,0,0.0,44.44,0.0,2023-04-16,-,-
1053,-209,jdl,-,1041.51,-2.14,1272.23,0.0,76.91,0.71,34,0.0,12,0.0,22,0.0,0,0.0,35.29,0.0,2024-04-14,-,1046.0
1054,-209,Covid_19,-,1041.15,-1.19,1451.24,0.0,136.7,0.4,9,0.0,4,0.0,5,0.0,0,0.0,44.44,0.0,2024-04-04,-,820.0
1055,-212,Tietzsche,-,1040.18,-4.39,1266.26,-87.04,75.36,-27.55,30,13.0,11,3.0,18,10.0,1,0.0,36.67,-10.39,2025-02-20,-,1192.0
1056,new,MikeLowrey,-,1040.14,590.14,1493.54,-6.46,151.13,151.13,6,6.0,2,2.0,4,4.0,0,0.0,33.33,33.33,2025-01-31,-,-
1057,-251,markosalaplaya,-,1039.4,-46.47,1282.61,-99.93,81.07,-17.82,21,7.0,7,1.0,13,6.0,1,0.0,33.33,-9.53,2025-02-20,G,1223.0
1058,new,mobeza,-,1038.65,588.65,1534.71,34.71,165.35,165.35,5,5.0,3,3.0,2,2.0,0,0.0,60.0,60.0,2025-01-31,-,-
-,-,nuvolaz,-,1038.42,-1.15,1466.74,0.0,142.77,0.38,11,0.0,5,0.0,6,0.0,0,0.0,45.45,0.0,2023-01-15,-,1016.0
1059,-222,AnBeLi3v4bLe,GR,1037.64,-15.76,1182.35,-22.79,48.24,-2.35,103,10.0,28,1.0,75,9.0,0,0.0,27.18,-1.85,2025-02-10,-,875.0
1060,-206,Francis88,-,1037.62,3.45,1305.36,-63.68,89.25,-22.38,21,7.0,9,2.0,12,5.0,0,0.0,42.86,-7.14,2025-02-12,-,858.0
1061,-212,nchoong,MY,1037.33,-1.48,1368.21,0.0,110.3,0.49,14,0.0,5,0.0,9,0.0,0,0.0,35.71,0.0,2024-10-31,-,1210.0
1062,-216,matti5215,-,1037.25,-3.43,1181.86,0.0,48.2,1.14,89,0.0,29,0.0,59,0.0,1,0.0,32.58,0.0,2024-10-31,-,711.0
1063,new,JiriHosek,-,1036.65,586.65,1500.64,0.64,154.66,154.66,6,6.0,2,2.0,4,4.0,0,0.0,33.33,33.33,2025-01-31,-,-
1064,-163,Tony117,IT,1035.98,63.22,1367.89,18.31,110.63,-14.97,16,4.0,6,2.0,10,2.0,0,0.0,37.5,4.17,2025-02-03,-,263.0
1065,-85,FiveGee,-,1035.62,220.35,1311.61,175.19,92.0,-15.05,21,7.0,7,5.0,13,2.0,1,0.0,33.33,19.04,2025-02-12,-,1223.0
1066,new,Otto_von_Bismarck,-,1034.76,584.76,1495.43,-4.57,153.56,153.56,6,6.0,3,3.0,3,3.0,0,0.0,50.0,50.0,2025-01-30,-,-
1067,new,Prince2B,-,1034.37,584.37,1501.34,1.34,155.65,155.65,5,5.0,2,2.0,3,3.0,0,0.0,40.0,40.0,2025-01-31,-,-
1068,-217,deleted_user_1946622,-,1034.22,-2.42,1237.7,0.0,67.83,0.81,30,0.0,4,0.0,24,0.0,2,0.0,13.33,0.0,2024-10-01,-,1200.0
1069,-207,CuJ,-,1034.13,12.28,1196.82,-3.99,54.23,-5.42,65,13.0,20,3.0,45,10.0,0,0.0,30.77,-1.92,2025-02-12,-,1211.0
-,-,Seabrook,-,1032.82,-1.96,1283.62,0.0,83.6,0.65,27,0.0,7,0.0,18,0.0,2,0.0,25.93,0.0,2024-01-16,-,1219.0
1070,-215,funestus,NO,1032.81,-0.59,1866.97,0.0,278.05,0.2,2,0.0,1,0.0,1,0.0,0,0.0,50.0,0.0,2024-04-28,GM,13.0
1071,-219,szesophie,-,1032.49,-3.22,1186.9,0.0,51.47,1.07,75,0.0,27,0.0,48,0.0,0,0.0,36.0,0.0,2024-10-31,-,1260.0
-,-,maximpodg,-,1032.16,-1.0,1523.08,0.0,163.64,0.33,6,0.0,2,0.0,4,0.0,0,0.0,33.33,0.0,2023-04-16,M,-
1072,new,TopDog,-,1031.97,581.97,1502.32,2.32,156.79,156.79,6,6.0,4,4.0,2,2.0,0,0.0,66.67,66.67,2025-02-04,-,-
-,-,irvan,-,1031.77,-0.77,1667.53,0.0,211.92,0.26,4,0.0,3,0.0,1,0.0,0,0.0,75.0,0.0,2021-11-15,-,-
-,-,Olorin_,-,1031.77,-0.77,1667.53,0.0,211.92,0.26,4,0.0,3,0.0,1,0.0,0,0.0,75.0,0.0,2021-11-15,M,-
-,-,shezbot,-,1031.77,-0.77,1667.53,0.0,211.92,0.26,4,0.0,3,0.0,1,0.0,0,0.0,75.0,0.0,2021-11-15,-,-
-,-,EmporerAndrew,-,1031.77,-0.77,1667.53,0.0,211.92,0.26,4,0.0,3,0.0,1,0.0,0,0.0,75.0,0.0,2021-11-15,-,-
-,-,Fane,BE,1031.34,-0.95,1547.88,0.0,172.18,0.32,6,0.0,3,0.0,3,0.0,0,0.0,50.0,0.0,2023-03-01,P,-
1073,-205,NovusIgnis,US,1030.6,19.4,1364.48,-13.33,111.3,-10.91,15,3.0,5,1.0,10,2.0,0,0.0,33.33,0.0,2024-12-21,-,477.0
1074,new,DVDripXvid,-,1030.48,580.48,1499.41,-0.59,156.31,156.31,6,6.0,3,3.0,3,3.0,0,0.0,50.0,50.0,2025-02-02,-,-
-,-,Rusticista,-,1029.76,-1.17,1449.55,0.0,139.93,0.39,11,0.0,4,0.0,7,0.0,0,0.0,36.36,0.0,2023-01-15,-,-
1075,new,Stedam,-,1029.39,579.39,1576.01,76.01,182.21,182.21,5,5.0,3,3.0,2,2.0,0,0.0,60.0,60.0,2025-01-26,-,-
-,-,Doc.Fusion,-,1028.9,-1.06,1491.93,0.0,154.34,0.35,8,0.0,3,0.0,5,0.0,0,0.0,37.5,0.0,2022-01-01,-,-
1076,-218,Onlineguy,-,1028.61,-1.32,1399.34,0.0,123.58,0.44,12,0.0,5,0.0,7,0.0,0,0.0,41.67,0.0,2024-04-04,-,717.0
-,-,joaoleal2,-,1028.57,-1.06,1492.16,0.0,154.53,0.35,8,0.0,3,0.0,5,0.0,0,0.0,37.5,0.0,2022-01-01,-,-
-,-,fuxio82,-,1028.57,-1.06,1492.16,0.0,154.53,0.35,8,0.0,3,0.0,5,0.0,0,0.0,37.5,0.0,2022-01-01,-,-
-,-,Aksiom,-,1028.57,-1.06,1492.16,0.0,154.53,0.35,8,0.0,3,0.0,5,0.0,0,0.0,37.5,0.0,2022-01-01,-,-
1077,-217,Icarium,US,1027.75,-0.83,1162.23,-5.41,44.83,-1.53,104,12.0,33,2.0,71,10.0,0,0.0,31.73,-1.97,2025-02-18,-,879.0
1078,-219,Andreasp88,-,1027.52,-1.5,1355.28,0.0,109.25,0.5,18,0.0,6,0.0,12,0.0,0,0.0,33.33,0.0,2024-08-11,-,931.0
1079,new,SwedishFish,-,1026.53,576.53,1610.91,110.91,194.79,194.79,3,3.0,2,2.0,1,1.0,0,0.0,66.67,66.67,2024-12-11,-,-
1080,new,Boristina,-,1026.01,576.01,1503.26,3.26,159.08,159.08,6,6.0,3,3.0,3,3.0,0,0.0,50.0,50.0,2025-01-28,-,-
1081,new,cardboard,-,1025.5,575.5,1554.43,54.43,176.31,176.31,5,5.0,3,3.0,2,2.0,0,0.0,60.0,60.0,2025-02-02,-,-
1082,-162,Everex,CZ,1025.47,81.21,1238.51,46.64,71.01,-11.52,42,12.0,12,4.0,29,8.0,1,0.0,28.57,1.9,2025-02-20,-,638.0
-,-,tts,-,1024.47,-1.07,1483.91,0.0,153.15,0.36,8,0.0,3,0.0,5,0.0,0,0.0,37.5,0.0,2022-01-01,-,-
1083,-222,rstrack,-,1023.89,-1.83,1293.13,0.0,89.75,0.61,21,0.0,10,0.0,11,0.0,0,0.0,47.62,0.0,2024-03-12,-,801.0
1084,new,Leonidas33,-,1023.21,573.21,1510.3,10.3,162.36,162.36,6,6.0,4,4.0,2,2.0,0,0.0,66.67,66.67,2025-01-30,-,-
1085,unretired,lzhon002,-,1022.63,113.97,1380.78,-37.39,119.38,-50.45,12,6.0,5,2.0,7,4.0,0,0.0,41.67,-8.33,2025-02-07,-,1060.0
-,-,shockway,-,1022.49,-1.03,1496.99,0.0,158.17,0.34,8,0.0,2,0.0,4,0.0,2,0.0,25.0,0.0,2022-01-01,-,-
-,-,namenloser,-,1021.75,-0.73,1687.69,0.0,221.98,0.24,3,0.0,2,0.0,1,0.0,0,0.0,66.67,0.0,2023-01-15,-,-
-,-,Strawer_1982,IT,1020.51,-0.93,1549.02,0.0,176.17,0.31,6,0.0,3,0.0,3,0.0,0,0.0,50.0,0.0,2023-03-01,-,617.0
1086,new,Kayser,-,1018.72,568.72,1523.59,23.59,168.29,168.29,5,5.0,3,3.0,2,2.0,0,0.0,60.0,60.0,2025-02-04,-,-
1087,new,Madivar,-,1018.55,568.55,1462.15,-37.85,147.87,147.87,6,6.0,3,3.0,3,3.0,0,0.0,50.0,50.0,2025-01-28,-,-
1088,-177,CuteAnn,-,1018.32,60.4,1250.06,8.41,77.25,-17.33,32,10.0,8,3.0,24,7.0,0,0.0,25.0,2.27,2025-02-13,-,865.0
-,-,thundermain,-,1018.14,-0.99,1511.31,0.0,164.39,0.33,6,0.0,3,0.0,3,0.0,0,0.0,50.0,0.0,2024-02-23,-,1060.0
1089,unretired,Vlasy,-,1017.83,134.19,1369.87,2.48,117.34,-43.91,12,6.0,5,2.0,7,4.0,0,0.0,41.67,-8.33,2025-02-03,-,1057.0
1090,-152,Hampsink,-,1017.56,109.6,1236.8,66.24,73.08,-14.45,35,12.0,10,5.0,25,7.0,0,0.0,28.57,6.83,2025-02-12,-,937.0
1091,new,flo3,-,1015.79,565.79,1467.31,-32.69,150.51,150.51,6,6.0,3,3.0,3,3.0,0,0.0,50.0,50.0,2025-02-04,-,-
1092,-210,gutibudoka,-,1015.21,22.18,1150.87,18.53,45.22,-1.22,108,12.0,33,4.0,75,8.0,0,0.0,30.56,0.35,2025-02-12,-,1005.0
-,-,GerrySalinas,-,1014.53,-1.0,1505.89,0.0,163.79,0.33,8,0.0,3,0.0,5,0.0,0,0.0,37.5,0.0,2022-01-01,G,1042.0
1093,-229,Dumnac,FR,1014.34,-1.9,1272.11,0.0,85.92,0.63,24,0.0,6,0.0,17,0.0,1,0.0,25.0,0.0,2024-10-01,-,942.0
1094,new,Makt,-,1014.28,564.28,1472.83,-27.17,152.85,152.85,5,5.0,2,2.0,3,3.0,0,0.0,40.0,40.0,2025-02-08,-,-
1095,new,SirHorse,-,1014.24,564.24,1522.69,22.69,169.48,169.48,6,6.0,4,4.0,2,2.0,0,0.0,66.67,66.67,2025-02-03,-,-
1096,unretired,PeskyGekko,-,1014.04,6.49,1402.74,-74.42,129.57,-26.97,11,3.0,5,1.0,6,2.0,0,0.0,45.45,-4.55,2024-12-16,-,1060.0
1097,-193,olawaco,-,1014.01,47.06,1222.92,32.93,69.64,-4.71,47,6.0,15,3.0,31,3.0,1,0.0,31.91,2.64,2025-02-08,-,1060.0
-,-,cibernyam,-,1013.26,-1.26,1401.69,0.0,129.48,0.42,13,0.0,4,0.0,8,0.0,1,0.0,30.77,0.0,2024-02-23,-,924.0
-,-,fielmann,EE,1013.25,-1.05,1480.93,0.0,155.89,0.35,10,0.0,4,0.0,6,0.0,0,0.0,40.0,0.0,2023-03-01,G,-
-,-,Amstrid,-,1012.4,-1.14,1443.55,0.0,143.72,0.38,11,0.0,5,0.0,6,0.0,0,0.0,45.45,0.0,2023-01-15,-,-
1098,-221,LeSauvage,BE,1012.2,13.16,1220.87,-29.54,69.56,-14.23,44,13.0,13,3.0,30,9.0,1,1.0,29.55,-2.71,2025-02-17,-,532.0
1099,unretired,MechJayTi2,-,1011.9,84.25,1384.25,-58.28,124.12,-47.51,12,6.0,4,1.0,8,5.0,0,0.0,33.33,-16.67,2025-01-31,-,1060.0
-,-,FWN,-,1011.42,-0.77,1643.65,0.0,210.74,0.26,4,0.0,3,0.0,1,0.0,0,0.0,75.0,0.0,2021-11-15,-,-
-,-,Paoloco,-,1011.38,-1.14,1441.12,0.0,143.25,0.38,9,0.0,4,0.0,5,0.0,0,0.0,44.44,0.0,2024-02-23,G,398.0
-,-,Henader,PL,1011.2,-0.96,1522.85,0.0,170.55,0.32,6,0.0,3,0.0,3,0.0,0,0.0,50.0,0.0,2023-03-01,-,-
1100,new,Redgood,-,1010.6,560.6,1474.09,-25.91,154.5,154.5,6,6.0,3,3.0,3,3.0,0,0.0,50.0,50.0,2025-01-30,-,-
1101,new,Pants101,-,1009.6,559.6,1489.38,-10.62,159.92,159.92,5,5.0,2,2.0,3,3.0,0,0.0,40.0,40.0,2025-02-02,-,-
1102,new,flacoforro,-,1009.54,559.54,1526.63,26.63,172.36,172.36,5,5.0,3,3.0,2,2.0,0,0.0,60.0,60.0,2025-01-28,-,-
