Rank,Rank Δ,Player,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played
176,12,Olesch,1597.4,17.18,1686.24,13.61,29.61,-1.19,360,12.0,193,10.0,164,2.0,3,0.0,53.61,1.02,2025-01-27
177,14,GerisNezus,1597.37,17.73,1683.02,13.45,28.55,-1.43,334,16.0,204,13.0,128,3.0,2,0.0,61.08,1.02,2025-02-03
-,-,LaoHuang,1597.31,0.0,1705.25,0.0,35.98,0.0,422,0.0,220,0.0,195,0.0,7,0.0,52.13,0.0,2023-11-15
178,-7,Vangelisb,1597.18,5.67,1685.72,1.73,29.52,-1.31,288,16.0,179,10.0,108,6.0,1,0.0,62.15,0.02,2025-01-26
-,-,Kelume,1597.09,0.0,1789.82,0.0,64.24,0.0,72,0.0,53,0.0,18,0.0,1,0.0,73.61,0.0,2021-06-02
179,-53,pigfans,1597.03,-25.9,1802.5,-41.53,68.49,-5.21,30,4.0,23,1.0,7,3.0,0,0.0,76.67,-7.95,2025-01-05
180,-10,CouchKing,1596.41,4.59,1672.99,2.41,25.53,-0.73,442,12.0,264,7.0,174,5.0,4,0.0,59.73,-0.04,2025-01-09
181,-23,fathope,1595.96,-4.44,1678.71,-6.94,27.58,-0.83,380,12.0,224,5.0,152,7.0,4,0.0,58.95,-0.56,2025-01-31
-,-,Dr.Ampelmann,1595.7,0.0,1754.07,0.0,52.79,0.0,76,0.0,61,0.0,15,0.0,0,0.0,80.26,0.0,2023-11-15
182,-20,ChampDeGlace,1595.6,-1.59,1685.39,-4.02,29.93,-0.81,288,12.0,186,8.0,100,4.0,2,0.0,64.58,0.09,2025-02-03
183,695,otis,1595.04,350.86,1958.47,136.81,121.14,-71.35,12,8.0,12,8.0,0,0.0,0,0.0,100.0,0.0,2025-01-23
-,-,ShiLin,1594.61,0.0,1780.58,0.0,61.99,0.0,60,0.0,50,0.0,10,0.0,0,0.0,83.33,0.0,2022-09-04
184,-61,Prautim,1593.36,-30.48,1766.9,-39.77,57.85,-3.1,54,6.0,34,2.0,20,4.0,0,0.0,62.96,-3.71,2025-01-26
185,-17,Dunedain,1592.74,0.0,1691.5,0.0,32.92,0.0,310,0.0,188,0.0,120,0.0,2,0.0,60.65,0.0,2024-06-03
186,4,Shadowiscool500,1592.53,12.5,1668.84,7.75,25.44,-1.58,456,24.0,263,15.0,191,9.0,2,0.0,57.68,0.27,2025-02-14
-,-,jmamos,1592.25,0.0,1737.31,0.0,48.35,0.0,102,0.0,69,0.0,33,0.0,0,0.0,67.65,0.0,2023-06-06
187,-26,Lloydinspace100,1591.13,-6.18,1674.08,-7.73,27.65,-0.52,414,6.0,230,1.0,182,5.0,2,0.0,55.56,-0.57,2025-01-19
