Rank,Rank Δ,Player,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played,Title
-,-,Ktung,1683.12,-3.97,1813.43,0.0,43.44,1.32,156,0.0,91,0.0,65,0.0,0,0.0,58.33,0.0,2023-06-04,M
103,3,Reenter73,1682.88,9.16,1776.63,8.54,31.25,-0.21,288,18.0,154,13.0,131,5.0,3,0.0,53.47,1.25,2025-02-04,M
104,24,jezza101,1682.55,30.8,1790.8,22.83,36.08,-2.66,186,21.0,120,15.0,65,6.0,1,0.0,64.52,0.88,2025-01-24,-
-,-,Veikka,1682.36,-4.33,1801.68,0.0,39.77,1.44,192,0.0,116,0.0,76,0.0,0,0.0,60.42,0.0,2023-11-15,P
105,3,LittleBob,1681.52,10.38,1769.26,8.99,29.24,-0.46,273,21.0,147,12.0,126,9.0,0,0.0,53.85,0.28,2025-01-19,P
106,213,Plunderteig,1681.22,153.4,2085.01,68.18,134.59,-28.41,12,6.0,12,6.0,0,0.0,0,0.0,100.0,0.0,2025-01-18,-
107,0,Spartan1337,1680.77,7.91,1771.3,7.98,30.18,0.02,237,18.0,136,12.0,100,6.0,1,0.0,57.38,0.76,2025-01-24,P
-,-,Bram,1680.59,-3.97,1811.65,0.0,43.69,1.32,162,0.0,88,0.0,73,0.0,1,0.0,54.32,0.0,2023-06-06,M
108,161,zoiedberg,1680.01,122.67,1910.0,91.82,76.66,-10.28,30,6.0,23,6.0,7,0.0,0,0.0,76.67,5.84,2025-01-13,-
109,-18,PlanarFreak,1679.33,-7.2,1772.3,-7.76,30.99,-0.19,210,15.0,130,7.0,80,8.0,0,0.0,61.9,-1.18,2025-01-21,-
110,-15,Raistlin3m,1679.06,-4.82,1787.58,0.0,36.17,1.61,189,0.0,111,0.0,77,0.0,1,0.0,58.73,0.0,2024-10-01,M
111,0,Lothar,1678.92,13.38,1778.55,14.02,33.21,0.21,258,15.0,164,14.0,93,1.0,1,0.0,63.57,1.84,2025-01-15,-
112,-31,flutter,1678.89,-26.04,1794.07,-36.96,38.39,-3.64,120,21.0,81,9.0,37,12.0,2,0.0,67.5,-5.23,2025-01-15,P
113,-14,BlixLT,1678.87,-3.35,1758.48,-1.77,26.54,0.53,474,21.0,246,11.0,222,10.0,6,0.0,51.9,0.02,2025-01-19,P
-,-,DireNTropy,1678.76,-2.29,1893.26,0.0,71.5,0.76,60,0.0,47,0.0,13,0.0,0,0.0,78.33,0.0,2020-12-06,GM
114,-4,heisenberg_97,1678.68,10.45,1777.94,9.77,33.09,-0.23,192,12.0,118,7.0,73,5.0,1,0.0,61.46,-0.21,2025-01-23,P
115,4,BoatyMcBoatface,1678.14,17.79,1770.6,15.21,30.82,-0.86,213,21.0,131,15.0,81,6.0,1,0.0,61.5,1.08,2025-01-20,P
116,-16,occupied,1677.76,-3.53,1771.38,-3.18,31.2,0.12,246,12.0,137,5.0,109,7.0,0,0.0,55.69,-0.72,2025-01-20,M
117,14,Royalhawk,1676.12,28.32,1913.33,5.73,79.07,-7.53,36,6.0,32,5.0,4,1.0,0,0.0,88.89,-1.11,2025-01-07,-
118,-16,Fizi,1675.12,-3.13,1834.41,0.0,53.1,1.04,96,0.0,51,0.0,42,0.0,3,0.0,53.12,0.0,2024-06-02,GM
-,-,edan92,1674.95,-3.33,1823.51,0.0,49.52,1.11,120,0.0,70,0.0,48,0.0,2,0.0,58.33,0.0,2022-09-04,M
